STATION,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
INWOOD-207 ST,11800,1149,8164,3854
DYCKMAN ST,8185,96,6530,206
190 ST,1988,212,3883,1367
181 ST,12955,1696,10408,8287
175 ST,6414,792,10722,4876
168 ST,7006,4972,24386,16477
145 ST,8715,3053,22567,19270
125 ST,6472,5890,27231,21340
59 ST COLUMBUS,4615,17394,75556,63778
50 ST 8 AV,4572,6636,24963,15301
42 ST-PORT AUTH,35123,7859,44529,38375
TIMES SQ-42 ST,12561,17509,73965,84149
34 ST-PENN STA,23563,17055,62047,61351
14 ST,3919,11802,27238,16013
W 4 ST-WASH SQ,8866,16294,38335,38425
CANAL ST,1013,4971,16627,17139
CHAMBERS ST,2069,5004,27050,16564
WORLD TRADE CTR,2530,3438,13485,10951
PARK PLACE,94,879,3032,2588
FULTON ST,20936,31004,61935,37897
HIGH ST,892,2247,8389,10522
JAY ST-METROTEC,3850,3991,44998,23313
HOYT-SCHER,1254,2107,11437,9335
FRANKLIN AV,4470,2992,6058,6578
NOSTRAND AV,5011,2436,15877,9238
UTICA AV,16992,4222,14769,11402
BROADWAY JCT,5493,2685,7839,6437
EUCLID AV,7664,931,9538,2686
GRANT AV,4793,628,5241,3883
80 ST,8396,336,3225,1923
88 ST,6117,135,2051,958
ROCKAWAY BLVD,12873,1655,6355,2804
104 ST,2441,74,1325,412
111 ST,6459,146,1475,727
OZONE PK LEFFRT,10129,1136,5161,4101
AQUEDUCT RACETR,589,27,1677,190
AQUEDUCT N.COND,2137,308,596,2098
HOWARD BCH JFK,2545,2294,3535,6195
BROAD CHANNEL,832,52,194,94
BEACH 67 ST,2438,384,1856,1247
BEACH 60 ST,2526,303,1705,1138
BEACH 44 ST,783,366,604,472
BEACH 36 ST,1124,135,778,582
BEACH 25 ST,2224,375,1794,1081
FAR ROCKAWAY,4504,1453,3784,3219
BEACH 90 ST,1930,184,626,681
BEACH 98 ST,934,302,600,421
BEACH 105 ST,515,152,288,183
ROCKAWAY PARK B,1142,476,626,649